time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0,0,0,0,0,0,0,1,0.84273,2.37992,0.00165332
0.001,0.0554345,5.54345e-05,5.54345e-08,0.645391,0.000645391,6.45391e-07,0.999446,0.879666,2.4683,0.00165396
0.002,0.0702091,0.000125644,1.81078e-07,0.610037,0.00125543,1.90082e-06,0.998744,0.915139,2.55341,0.00165522
0.003,0.0843983,0.000210042,3.9112e-07,0.575995,0.00183142,3.73224e-06,0.9979,0.949206,2.63541,0.00165705
0.004,0.098025,0.000308067,6.99187e-07,0.543194,0.00237462,6.10686e-06,0.996919,0.981934,2.71437,0.00165942
0.005,0.111116,0.000419183,1.11837e-06,0.511611,0.00288623,8.99309e-06,0.995808,1.01336,2.79049,0.00166231
0.006,0.123687,0.00054287,1.66124e-06,0.48116,0.00336739,1.23605e-05,0.994571,1.04355,2.86378,0.00166568
0.007,0.135763,0.000678634,2.33987e-06,0.451845,0.00381923,1.61797e-05,0.993214,1.07255,2.93431,0.0016695
0.008,0.147364,0.000825998,3.16587e-06,0.423633,0.00424287,2.04226e-05,0.99174,1.10038,3.00235,0.00167374
0.009,0.158496,0.000984494,4.15037e-06,0.396419,0.00463929,2.50619e-05,0.990155,1.1271,3.0678,0.00167838
0.01,0.169183,0.00115368,5.30404e-06,0.370237,0.00500952,3.00714e-05,0.988463,1.15271,3.13097,0.00168339
0.011,0.179426,0.0013331,6.63714e-06,0.344969,0.00535449,3.54259e-05,0.986669,1.17727,3.19172,0.00168874
0.012,0.189249,0.00152235,8.1595e-06,0.32067,0.00567516,4.1101e-05,0.984776,1.20081,3.25011,0.00169442
0.013,0.198665,0.00172102,9.88051e-06,0.297314,0.00597248,4.70735e-05,0.98279,1.22332,3.30647,0.00170039
0.014,0.207669,0.00192868,1.18092e-05,0.274769,0.00624725,5.33208e-05,0.980713,1.2449,3.36034,0.00170664
0.015,0.216303,0.00214499,1.39542e-05,0.253223,0.00650047,5.98212e-05,0.97855,1.26551,3.41232,0.00171314
0.016,0.224546,0.00236953,1.63237e-05,0.232429,0.0067329,6.65541e-05,0.976305,1.2852,3.4622,0.00171987
0.017,0.232422,0.00260196,1.89257e-05,0.212477,0.00694537,7.34995e-05,0.97398,1.30399,3.51004,0.00172682
0.018,0.239939,0.00284189,2.17676e-05,0.193342,0.00713872,8.06382e-05,0.971581,1.32187,3.55621,0.00173396
0.019,0.247089,0.00308898,2.48566e-05,0.174876,0.00731359,8.79518e-05,0.96911,1.33893,3.60011,0.00174127
0.02,0.253914,0.0033429,2.81994e-05,0.157315,0.00747091,9.54227e-05,0.966571,1.35511,3.64247,0.00174874
0.021,0.260387,0.00360328,3.18027e-05,0.140372,0.00761128,0.000103034,0.963967,1.37047,3.68299,0.00175635
0.022,0.266532,0.00386982,3.56726e-05,0.124161,0.00773544,0.000110769,0.961302,1.38504,3.72174,0.00176409
0.023,0.272358,0.00414217,3.98147e-05,0.108663,0.0078441,0.000118614,0.958578,1.39882,3.75875,0.00177193
0.024,0.277871,0.00442004,4.42348e-05,0.0938567,0.00793796,0.000126551,0.9558,1.41184,3.79409,0.00177987
0.025,0.283079,0.00470312,4.89379e-05,0.0797224,0.00801768,0.000134569,0.952969,1.42412,3.82779,0.00178789
0.026,0.287991,0.00499111,5.3929e-05,0.0662407,0.00808392,0.000142653,0.950089,1.43567,3.85991,0.00179597
0.027,0.292612,0.00528373,5.92127e-05,0.0533924,0.00813732,0.00015079,0.947163,1.44652,3.8905,0.00180411
0.028,0.29695,0.00558068,6.47934e-05,0.0411586,0.00817847,0.000158969,0.944193,1.45662,3.91996,0.00181229
0.029,0.30099,0.00588167,7.06751e-05,0.0293752,0.00820785,0.000167177,0.941183,1.4661,3.94759,0.00182049
0.03,0.304781,0.00618645,7.68615e-05,0.0183228,0.00822617,0.000175403,0.938136,1.47492,3.97382,0.00182872
0.031,0.30831,0.00649476,8.33563e-05,0.00783016,0.008234,0.000183637,0.935052,1.4831,3.9987,0.00183695
0.032,0.311584,0.00680634,9.01626e-05,-0.00212029,0.00823188,0.000191869,0.931937,1.49061,4.02263,0.00184519
0.033,0.314588,0.00712093,9.72836e-05,-0.0116922,0.00822019,0.000200089,0.928791,1.49757,4.0449,0.00185341
0.034,0.31737,0.0074383,0.000104722,-0.0206012,0.00819959,0.000208289,0.925617,1.50394,4.06594,0.00186161
0.035,0.319918,0.00775822,0.00011248,-0.0290189,0.00817057,0.000216459,0.922418,1.50974,4.0858,0.00186978
0.036,0.32224,0.00808046,0.000120561,-0.0369614,0.00813361,0.000224593,0.919195,1.515,4.10451,0.00187791
0.037,0.324341,0.0084048,0.000128965,-0.0444446,0.00808916,0.000232682,0.915952,1.51971,4.12211,0.001886
0.038,0.326228,0.00873103,0.000137696,-0.0514843,0.00803768,0.00024072,0.91269,1.52392,4.13863,0.00189404
0.039,0.327909,0.00905894,0.000146755,-0.0580954,0.00797958,0.000248699,0.909411,1.52762,4.15413,0.00190202
0.04,0.32939,0.00938833,0.000156144,-0.064293,0.00791529,0.000256614,0.906117,1.53084,4.16862,0.00190993
0.041,0.330677,0.009719,0.000165863,-0.0700915,0.0078452,0.00026446,0.90281,1.53364,4.18181,0.00191778
0.042,0.331799,0.0100508,0.000175913,-0.0753658,0.00776983,0.00027223,0.899492,1.53595,4.19444,0.00192555
0.043,0.332722,0.0103835,0.000186297,-0.0804183,0.00768942,0.000279919,0.896165,1.53782,4.20618,0.00193324
0.044,0.333471,0.010717,0.000197014,-0.085113,0.0076043,0.000287523,0.89283,1.53933,4.21672,0.00194084
0.045,0.334074,0.0110511,0.000208065,-0.0893285,0.00751497,0.000295038,0.889489,1.54044,4.22645,0.00194836
0.046,0.334519,0.0113856,0.000219451,-0.0932235,0.00742175,0.00030246,0.886144,1.54112,4.23575,0.00195578
0.047,0.334789,0.0117204,0.000231171,-0.0969429,0.00732481,0.000309785,0.882796,1.54147,4.24396,0.0019631
0.048,0.334932,0.0120553,0.000243226,-0.100225,0.00722458,0.000317009,0.879447,1.54148,4.25145,0.00197033
0.049,0.334934,0.0123902,0.000255617,-0.103224,0.00712136,0.000324131,0.876098,1.54115,4.25827,0.00197745
0.05,0.334802,0.012725,0.000268342,-0.10595,0.00701541,0.000331146,0.87275,1.5405,4.26443,0.00198446
0.051,0.334541,0.0130596,0.000281401,-0.108415,0.00690699,0.000338053,0.869404,1.53954,4.26997,0.00199137
0.052,0.334157,0.0133937,0.000294795,-0.11063,0.00679636,0.000344849,0.866063,1.53828,4.27491,0.00199817
0.053,0.333655,0.0137274,0.000308522,-0.112606,0.00668376,0.000351533,0.862726,1.53679,4.27898,0.00200485
0.054,0.33306,0.0140605,0.000322583,-0.114233,0.00656952,0.000358103,0.859395,1.535,4.28282,0.00201142
0.055,0.332342,0.0143928,0.000336976,-0.115769,0.00645376,0.000364556,0.856072,1.533,4.28585,0.00201787
0.056,0.331541,0.0147243,0.0003517,-0.11698,0.00633678,0.000370893,0.852757,1.53076,4.2884,0.00202421
0.057,0.330645,0.015055,0.000366755,-0.118001,0.00621877,0.000377112,0.84945,1.52825,4.29078,0.00203043
0.058,0.329641,0.0153846,0.00038214,-0.118953,0.00609982,0.000383212,0.846154,1.52556,4.29243,0.00203653
0.059,0.328568,0.0157132,0.000397853,-0.119612,0.00598021,0.000389192,0.842868,1.52268,4.29366,0.00204251
0.06,0.327415,0.0160406,0.000413893,-0.120108,0.0058601,0.000395052,0.839594,1.51965,4.29425,0.00204837
0.061,0.326203,0.0163668,0.00043026,-0.120344,0.00573976,0.000400792,0.836332,1.51641,4.29475,0.00205411
0.062,0.324905,0.0166917,0.000446952,-0.120544,0.00561921,0.000406411,0.833083,1.51299,4.2949,0.00205973
0.063,0.323539,0.0170153,0.000463967,-0.120603,0.00549861,0.00041191,0.829847,1.50946,4.29447,0.00206523
0.064,0.322126,0.0173374,0.000481305,-0.12043,0.00537818,0.000417288,0.826626,1.50574,4.29399,0.00207061
0.065,0.320639,0.017658,0.000498963,-0.120237,0.00525794,0.000422546,0.82342,1.50192,4.29297,0.00207586
0.066,0.319112,0.0179771,0.00051694,-0.11983,0.00513811,0.000427684,0.820229,1.49798,4.29169,0.002081
0.067,0.317535,0.0182947,0.000535234,-0.119319,0.0050188,0.000432703,0.817053,1.49388,4.29039,0.00208602
0.068,0.315896,0.0186106,0.000553845,-0.118799,0.0049,0.000437603,0.813894,1.48971,4.28862,0.00209092
0.069,0.314227,0.0189248,0.00057277,-0.11809,0.00478191,0.000442385,0.810752,1.48544,4.28663,0.0020957
0.07,0.312517,0.0192373,0.000592007,-0.117294,0.00466461,0.000447049,0.807627,1.4811,4.28423,0.00210037
0.071,0.310784,0.0195481,0.000611555,-0.116335,0.00454828,0.000451598,0.804519,1.47666,4.28187,0.00210492
0.072,0.309005,0.0198571,0.000631412,-0.115389,0.00443289,0.00045603,0.801429,1.47213,4.27932,0.00210935
0.073,0.307194,0.0201643,0.000651576,-0.114372,0.00431852,0.000460349,0.798357,1.46756,4.27642,0.00211367
0.074,0.305368,0.0204697,0.000672046,-0.113211,0.00420531,0.000464554,0.795303,1.46291,4.27357,0.00211787
0.075,0.303505,0.0207732,0.000692819,-0.112071,0.00409323,0.000468648,0.792268,1.45822,4.2704,0.00212196
0.076,0.30163,0.0210748,0.000713894,-0.110801,0.00398243,0.00047263,0.789252,1.45348,4.26711,0.00212595
0.077,0.299736,0.0213745,0.000735269,-0.109485,0.00387295,0.000476503,0.786255,1.4487,4.26371,0.00212982
0.078,0.297824,0.0216724,0.000756941,-0.108127,0.00376482,0.000480268,0.783276,1.44388,4.26022,0.00213359
0.079,0.295896,0.0219683,0.000778909,-0.106731,0.00365809,0.000483926,0.780317,1.43903,4.25665,0.00213724
0.08,0.293955,0.0222622,0.000801171,-0.1053,0.00355279,0.000487479,0.777378,1.43415,4.25299,0.0021408
0.081,0.292002,0.0225542,0.000823726,-0.103837,0.00344895,0.000490928,0.774458,1.42924,4.24926,0.00214424
0.082,0.290039,0.0228442,0.00084657,-0.102345,0.00334661,0.000494274,0.771558,1.42432,4.24546,0.00214759
0.083,0.288069,0.0231323,0.000869702,-0.100827,0.00324578,0.00049752,0.768677,1.4194,4.24147,0.00215084
0.084,0.286102,0.0234184,0.000893121,-0.0992291,0.00314655,0.000500667,0.765816,1.41445,4.23758,0.00215398
0.085,0.284122,0.0237025,0.000916823,-0.0976735,0.00304888,0.000503715,0.762975,1.40951,4.23351,0.00215703
0.086,0.282148,0.0239847,0.000940808,-0.0960456,0.00295283,0.000506668,0.760153,1.40455,4.22955,0.00215999
0.087,0.280163,0.0242649,0.000965073,-0.0944617,0.00285837,0.000509527,0.757351,1.39961,4.22543,0.00216284
0.088,0.278188,0.024543,0.000989616,-0.0928135,0.00276556,0.000512292,0.75457,1.39468,4.2213,0.00216561
0.089,0.276213,0.0248193,0.00101443,-0.0911607,0.0026744,0.000514967,0.751807,1.38973,4.21728,0.00216828
0.09,0.274233,0.0250935,0.00103953,-0.0895526,0.00258484,0.000517551,0.749065,1.3848,4.21312,0.00217087
0.091,0.272264,0.0253657,0.00106489,-0.0878913,0.00249695,0.000520048,0.746343,1.37989,4.20897,0.00217337
0.092,0.2703,0.025636,0.00109053,-0.0862308,0.00241072,0.000522459,0.74364,1.375,4.20483,0.00217578
0.093,0.268342,0.0259044,0.00111643,-0.0845725,0.00232615,0.000524785,0.740956,1.37014,4.20059,0.0021781
0.094,0.266397,0.0261708,0.00114261,-0.0828766,0.00224327,0.000527028,0.738292,1.36528,4.19647,0.00218035
0.095,0.264453,0.0264352,0.00116904,-0.0812311,0.00216204,0.000529191,0.735648,1.36044,4.19237,0.00218251
0.096,0.262518,0.0266978,0.00119574,-0.0795917,0.00208245,0.000531273,0.733022,1.35562,4.18829,0.00218459
0.097,0.260591,0.0269584,0.0012227,-0.0779595,0.00200449,0.000533277,0.730416,1.35085,4.18415,0.00218659
0.098,0.258681,0.027217,0.00124991,-0.0763004,0.00192819,0.000535206,0.72783,1.34608,4.18012,0.00218852
0.099,0.256775,0.0274738,0.00127739,-0.0746901,0.0018535,0.000537059,0.725262,1.34136,4.17604,0.00219038
0.1,0.254885,0.0277287,0.00130512,-0.0730573,0.00178044,0.00053884,0.722713,1.33665,4.17208,0.00219216
0.101,0.253001,0.0279817,0.0013331,-0.0714722,0.00170897,0.000540549,0.720183,1.33198,4.16807,0.00219387
0.102,0.251135,0.0282328,0.00136133,-0.0698691,0.0016391,0.000542188,0.717672,1.32734,4.1641,0.00219551
0.103,0.249281,0.0284821,0.00138981,-0.0682832,0.00157082,0.000543758,0.715179,1.32273,4.16025,0.00219708
0.104,0.247435,0.0287295,0.00141854,-0.0667434,0.00150407,0.000545263,0.712705,1.31816,4.15637,0.00219858
0.105,0.245606,0.0289751,0.00144752,-0.0651913,0.00143888,0.000546701,0.710249,1.31362,4.15254,0.00220002
0.106,0.243791,0.0292189,0.00147674,-0.063658,0.00137522,0.000548077,0.707811,1.30912,4.14876,0.00220139
0.107,0.24199,0.0294609,0.0015062,-0.0621443,0.00131308,0.00054939,0.705391,1.30465,4.14502,0.00220271
0.108,0.240203,0.0297011,0.0015359,-0.0606503,0.00125243,0.000550642,0.702989,1.30022,4.14134,0.00220396
0.109,0.23843,0.0299396,0.00156584,-0.0591765,0.00119325,0.000551835,0.700604,1.29582,4.1377,0.00220515
0.11,0.236672,0.0301762,0.00159601,-0.0577231,0.00113553,0.000552971,0.698238,1.29146,4.13412,0.00220629
0.111,0.234928,0.0304112,0.00162643,-0.0562904,0.00107924,0.00055405,0.695888,1.28714,4.13059,0.00220737
0.112,0.2332,0.0306444,0.00165707,-0.0548785,0.00102436,0.000555075,0.693556,1.28286,4.12711,0.00220839
0.113,0.231485,0.0308758,0.00168795,-0.0534877,0.000970874,0.000556045,0.691242,1.27861,4.12369,0.00220936
0.114,0.229786,0.0311056,0.00171905,-0.0521181,0.000918756,0.000556964,0.688944,1.27441,4.12028,0.00221028
0.115,0.228105,0.0313337,0.00175039,-0.0507539,0.000868002,0.000557832,0.686663,1.27023,4.11697,0.00221115
0.116,0.226436,0.0315602,0.00178195,-0.0494293,0.000818573,0.000558651,0.684398,1.2661,4.11371,0.00221197
0.117,0.224783,0.031785,0.00181373,-0.0481261,0.000770446,0.000559421,0.68215,1.26201,4.11047,0.00221274
0.118,0.223147,0.0320081,0.00184574,-0.046831,0.000723615,0.000560145,0.679919,1.25795,4.10733,0.00221346
0.119,0.221524,0.0322296,0.00187797,-0.0455728,0.000678043,0.000560823,0.677704,1.25394,4.10421,0.00221414
0.12,0.219918,0.0324495,0.00191042,-0.0443242,0.000633718,0.000561457,0.675505,1.24996,4.10117,0.00221477
0.121,0.218325,0.0326679,0.00194309,-0.0431108,0.000590608,0.000562047,0.673321,1.24602,4.09817,0.00221536
0.122,0.216749,0.0328846,0.00197597,-0.0419085,0.000548699,0.000562596,0.671154,1.24211,4.09524,0.00221591
0.123,0.215187,0.0330998,0.00200907,-0.0407394,0.00050796,0.000563104,0.669002,1.23825,4.09235,0.00221642
0.124,0.213641,0.0333135,0.00204238,-0.0395827,0.000468377,0.000563572,0.666865,1.23441,4.08954,0.00221689
0.125,0.212108,0.0335256,0.00207591,-0.0384575,0.000429919,0.000564002,0.664744,1.23062,4.08676,0.00221732
0.126,0.210592,0.0337362,0.00210965,-0.0373461,0.000392573,0.000564395,0.662638,1.22687,4.08404,0.00221771
0.127,0.20909,0.0339452,0.00214359,-0.0362574,0.000356316,0.000564751,0.660548,1.22315,4.08137,0.00221807
0.128,0.207603,0.0341528,0.00217774,-0.0351912,0.000321125,0.000565072,0.658472,1.21947,4.07878,0.00221839
0.129,0.206129,0.034359,0.0022121,-0.0341534,0.000286971,0.000565359,0.65641,1.21582,4.07622,0.00221868
0.13,0.204671,0.0345636,0.00224667,-0.0331309,0.00025384,0.000565613,0.654364,1.21221,4.07372,0.00221893
0.131,0.203227,0.0347669,0.00228143,-0.0321303,0.00022171,0.000565835,0.652331,1.20863,4.07127,0.00221915
0.132,0.201797,0.0349687,0.0023164,-0.0311515,0.000190559,0.000566025,0.650313,1.20509,4.06888,0.00221934
0.133,0.20038,0.035169,0.00235157,-0.0301938,0.000160365,0.000566186,0.64831,1.20159,4.06655,0.0022195
0.134,0.198977,0.035368,0.00238694,-0.0292603,0.000131105,0.000566317,0.64632,1.19811,4.06426,0.00221963
0.135,0.197589,0.0355656,0.0024225,-0.0283441,0.00010276,0.000566419,0.644344,1.19468,4.06202,0.00221974
0.136,0.196213,0.0357618,0.00245827,-0.0274484,7.5312e-05,0.000566495,0.642382,1.19127,4.05983,0.00221981
0.137,0.194851,0.0359567,0.00249422,-0.0265731,4.87389e-05,0.000566544,0.640433,1.1879,4.05769,0.00221986
0.138,0.193503,0.0361502,0.00253037,-0.0257177,2.30212e-05,0.000566567,0.638498,1.18456,4.0556,0.00221988
0.139,0.192167,0.0363423,0.00256672,-0.0248821,-1.86098e-06,0.000566565,0.636577,1.18125,4.05356,0.00221988
0.14,0.190844,0.0365332,0.00260325,-0.0240659,-2.59269e-05,0.000566539,0.634668,1.17798,4.05157,0.00221986
0.141,0.189534,0.0367227,0.00263997,-0.0232689,-4.91958e-05,0.00056649,0.632773,1.17473,4.04962,0.00221981
0.142,0.188236,0.036911,0.00267688,-0.0224906,-7.16864e-05,0.000566418,0.63089,1.17152,4.04772,0.00221974
0.143,0.186951,0.0370979,0.00271398,-0.0217309,-9.34173e-05,0.000566324,0.629021,1.16834,4.04587,0.00221964
0.144,0.185679,0.0372836,0.00275126,-0.0209895,-0.000114407,0.00056621,0.627164,1.16519,4.04406,0.00221953
0.145,0.184418,0.037468,0.00278873,-0.0202659,-0.000134673,0.000566075,0.62532,1.16207,4.0423,0.00221939
0.146,0.183169,0.0376512,0.00282638,-0.0195601,-0.000154233,0.000565921,0.623488,1.15897,4.04058,0.00221924
0.147,0.181931,0.0378331,0.00286422,-0.0188743,-0.000173107,0.000565748,0.621669,1.15591,4.0389,0.00221907
0.148,0.180706,0.0380138,0.00290223,-0.0182032,-0.00019131,0.000565557,0.619862,1.15287,4.03727,0.00221887
0.149,0.179492,0.0381933,0.00294042,-0.0175486,-0.000208859,0.000565348,0.618067,1.14987,4.03567,0.00221867
0.15,0.178289,0.0383716,0.00297879,-0.0169106,-0.00022577,0.000565122,0.616284,1.14689,4.03412,0.00221844
0.151,0.177097,0.0385487,0.00301734,-0.0162886,-0.000242058,0.00056488,0.614513,1.14393,4.0326,0.0022182
0.152,0.175916,0.0387246,0.00305607,-0.0156824,-0.000257741,0.000564622,0.612754,1.14101,4.03114,0.00221794
0.153,0.174746,0.0388994,0.00309497,-0.0150966,-0.000272837,0.000564349,0.611006,1.13811,4.0297,0.00221767
0.154,0.173586,0.0390729,0.00313404,-0.0145214,-0.000287359,0.000564062,0.609271,1.13524,4.0283,0.00221738
0.155,0.172437,0.0392454,0.00317329,-0.0139611,-0.00030132,0.000563761,0.607546,1.13239,4.02693,0.00221708
0.156,0.171299,0.0394167,0.0032127,-0.0134155,-0.000314735,0.000563446,0.605833,1.12957,4.02562,0.00221676
0.157,0.170169,0.0395868,0.00325229,-0.0128899,-0.000327625,0.000563118,0.604132,1.12677,4.02433,0.00221644
0.158,0.169051,0.0397559,0.00329204,-0.0123729,-0.000339998,0.000562778,0.602441,1.124,4.02307,0.0022161
0.159,0.167942,0.0399238,0.00333197,-0.0118696,-0.000351868,0.000562427,0.600762,1.12125,4.02185,0.00221574
0.16,0.166843,0.0400907,0.00337206,-0.0113798,-0.000363247,0.000562063,0.599093,1.11853,4.02067,0.00221538
0.161,0.165753,0.0402564,0.00341232,-0.01091,-0.000374158,0.000561689,0.597436,1.11583,4.01951,0.00221501
0.162,0.164673,0.0404211,0.00345274,-0.0104465,-0.000384604,0.000561305,0.595789,1.11315,4.01838,0.00221462
0.163,0.163602,0.0405847,0.00349332,-0.00999565,-0.0003946,0.00056091,0.594153,1.11049,4.01731,0.00221423
0.164,0.16254,0.0407473,0.00353407,-0.00956444,-0.000404164,0.000560506,0.592527,1.10786,4.01624,0.00221382
0.165,0.161487,0.0409087,0.00357498,-0.00913815,-0.000413302,0.000560092,0.590913,1.10525,4.0152,0.00221341
0.166,0.160444,0.0410692,0.00361605,-0.00872382,-0.000422026,0.00055967,0.589308,1.10266,4.01422,0.00221299
0.167,0.159407,0.0412286,0.00365728,-0.00832879,-0.000430355,0.00055924,0.587714,1.1001,4.01324,0.00221256
