time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0,0,0,0,0,0,0,1,0.517122,3.148,0.00528595
0.001,0.0795572,7.95572e-05,7.95572e-08,1.13769,0.00113769,1.13769e-06,0.999204,0.545396,3.32061,0.00528709
0.002,0.083907,0.000163464,2.43021e-07,1.11114,0.00224883,3.38652e-06,0.998365,0.573148,3.49027,0.00528934
0.003,0.0881766,0.000251641,4.94662e-07,1.08504,0.00333387,6.72039e-06,0.997484,0.600314,3.65732,0.00529267
0.004,0.092356,0.000343997,8.38659e-07,1.05934,0.0043932,1.11136e-05,0.99656,0.62702,3.82151,0.00529706
0.005,0.0964646,0.000440461,1.27912e-06,1.03408,0.00542728,1.65409e-05,0.995595,0.653182,3.98321,0.00530249
0.006,0.100489,0.000540951,1.82007e-06,1.0092,0.00643648,2.29773e-05,0.99459,0.678874,4.14231,0.00530893
0.007,0.104442,0.000645393,2.46546e-06,0.984722,0.0074212,3.03985e-05,0.993546,0.704121,4.29885,0.00531635
0.008,0.108326,0.000753719,3.21918e-06,0.960638,0.00838184,3.87804e-05,0.992463,0.728825,4.45323,0.00532473
0.009,0.112127,0.000865846,4.08503e-06,0.936888,0.00931872,4.80991e-05,0.991342,0.753234,4.60479,0.00533405
0.01,0.115882,0.000981728,5.06676e-06,0.913571,0.0102323,5.83314e-05,0.990183,0.776965,4.75477,0.00534428
0.011,0.119533,0.00110126,6.16802e-06,0.890497,0.0111228,6.94542e-05,0.988987,0.800439,4.90199,0.0053554
0.012,0.123144,0.00122441,7.39243e-06,0.867847,0.0119906,8.14448e-05,0.987756,0.823365,5.0474,0.00536739
0.013,0.126672,0.00135108,8.7435e-06,0.845477,0.0128361,9.42809e-05,0.986489,0.845908,5.19057,0.00538023
0.014,0.13014,0.00148122,1.02247e-05,0.823451,0.0136596,0.000107941,0.985188,0.868081,5.33153,0.00539389
0.015,0.133551,0.00161477,1.18395e-05,0.801764,0.0144613,0.000122402,0.983852,0.889901,5.47031,0.00540835
0.016,0.136908,0.00175168,1.35912e-05,0.780414,0.0152417,0.000137644,0.982483,0.911156,5.60758,0.00542359
0.017,0.140178,0.00189185,1.5483e-05,0.759296,0.016001,0.000153645,0.981081,0.932056,5.74276,0.00543959
0.018,0.143393,0.00203525,1.75183e-05,0.738499,0.0167395,0.000170384,0.979648,0.952612,5.87587,0.00545633
0.019,0.146556,0.0021818,1.97001e-05,0.718019,0.0174576,0.000187842,0.978182,0.972835,6.00695,0.00547379
0.02,0.149667,0.00233147,2.20315e-05,0.697854,0.0181554,0.000205997,0.976685,0.992468,6.13677,0.00549195
0.021,0.152687,0.00248416,2.45157e-05,0.677882,0.0188333,0.00022483,0.975158,1.01176,6.26462,0.00551078
0.022,0.155656,0.00263981,2.71555e-05,0.658212,0.0194915,0.000244322,0.973602,1.03073,6.39052,0.00553027
0.023,0.158573,0.00279839,2.99539e-05,0.638842,0.0201304,0.000264452,0.972016,1.04937,6.5145,0.0055504
0.024,0.161441,0.00295983,3.29137e-05,0.61977,0.0207501,0.000285202,0.970402,1.06769,6.63655,0.00557115
0.025,0.16426,0.00312409,3.60378e-05,0.600992,0.0213511,0.000306554,0.968759,1.08539,6.75762,0.0055925
0.026,0.166982,0.00329107,3.93289e-05,0.582366,0.0219335,0.000328487,0.967089,1.10308,6.8759,0.00561444
0.027,0.169705,0.00346077,4.27896e-05,0.564169,0.0224976,0.000350985,0.965392,1.12014,6.99327,0.00563693
0.028,0.17233,0.0036331,4.64228e-05,0.546113,0.0230438,0.000374028,0.963669,1.13689,7.10881,0.00565998
0.029,0.174906,0.00380801,5.02308e-05,0.528337,0.0235721,0.000397601,0.96192,1.15332,7.22253,0.00568355
0.03,0.177434,0.00398544,5.42162e-05,0.510841,0.0240829,0.000421683,0.960146,1.16944,7.33446,0.00570763
0.031,0.179914,0.00416536,5.83816e-05,0.493621,0.0245766,0.00044626,0.958346,1.18489,7.44564,0.00573221
0.032,0.182291,0.00434765,6.27292e-05,0.476516,0.0250531,0.000471313,0.956524,1.20039,7.554,0.00575726
0.033,0.184676,0.00453232,6.72615e-05,0.459845,0.0255129,0.000496826,0.954677,1.21521,7.66169,0.00578277
0.034,0.186955,0.00471928,7.19808e-05,0.443279,0.0259562,0.000522782,0.952807,1.22971,7.76764,0.00580873
0.035,0.189186,0.00490846,7.68893e-05,0.426979,0.0263832,0.000549165,0.950915,1.24389,7.87186,0.00583511
0.036,0.191368,0.00509983,8.19891e-05,0.410944,0.0267941,0.00057596,0.949002,1.25817,7.97324,0.00586191
0.037,0.193565,0.0052934,8.72825e-05,0.395348,0.0271895,0.000603149,0.947066,1.27133,8.07522,0.0058891
0.038,0.19559,0.00548899,9.27715e-05,0.379659,0.0275691,0.000630718,0.94511,1.28458,8.17434,0.00591667
0.039,0.197628,0.00568662,9.84581e-05,0.364409,0.0279335,0.000658652,0.943134,1.29753,8.27178,0.0059446
0.04,0.19962,0.00588624,0.000104344,0.349418,0.028283,0.000686935,0.941138,1.31017,8.36757,0.00597288
0.041,0.201564,0.0060878,0.000110432,0.334682,0.0286176,0.000715552,0.939122,1.32206,8.46291,0.0060015
0.042,0.203393,0.00629119,0.000116723,0.320014,0.0289377,0.00074449,0.937088,1.33407,8.55538,0.00603044
0.043,0.205242,0.00649644,0.00012322,0.305788,0.0292434,0.000773733,0.935036,1.34533,8.64746,0.00605968
0.044,0.206974,0.00670341,0.000129923,0.291622,0.0295351,0.000803268,0.932966,1.35673,8.73667,0.00608922
0.045,0.208728,0.00691214,0.000136835,0.277897,0.029813,0.000833081,0.930879,1.36736,8.82554,0.00611903
0.046,0.210364,0.0071225,0.000143958,0.264225,0.0300772,0.000863159,0.928775,1.37768,8.9128,0.00614911
0.047,0.211951,0.00733445,0.000151292,0.2508,0.030328,0.000893487,0.926655,1.38815,8.9972,0.00617944
0.048,0.213561,0.00754801,0.00015884,0.237815,0.0305658,0.000924052,0.92452,1.39784,9.08132,0.00621
0.049,0.215053,0.00776307,0.000166603,0.224874,0.0307907,0.000954843,0.922369,1.40722,9.16388,0.00624079
0.05,0.216495,0.00797956,0.000174583,0.212172,0.0310028,0.000985846,0.920204,1.41628,9.24488,0.00627179
0.051,0.21789,0.00819745,0.00018278,0.19971,0.0312026,0.00101705,0.918025,1.42504,9.32434,0.006303
0.052,0.219236,0.00841669,0.000191197,0.187486,0.03139,0.00104844,0.915833,1.43348,9.40227,0.00633439
0.053,0.220535,0.00863722,0.000199834,0.175496,0.0315655,0.00108,0.913628,1.44161,9.47869,0.00636595
0.054,0.221785,0.00885901,0.000208693,0.163741,0.0317293,0.00111173,0.91141,1.44942,9.55359,0.00639768
0.055,0.222988,0.009082,0.000217775,0.152217,0.0318815,0.00114361,0.90918,1.45694,9.62701,0.00642956
0.056,0.224144,0.00930614,0.000227081,0.140922,0.0320224,0.00117564,0.906939,1.46414,9.69894,0.00646159
0.057,0.225252,0.00953139,0.000236613,0.129855,0.0321523,0.00120779,0.904686,1.47104,9.76941,0.00649374
0.058,0.226313,0.00975771,0.000246371,0.119015,0.0322713,0.00124006,0.902423,1.47763,9.83842,0.00652601
0.059,0.227327,0.00998503,0.000256356,0.108397,0.0323797,0.00127244,0.90015,1.48392,9.90599,0.00655839
0.06,0.228295,0.0102133,0.000266569,0.098002,0.0324777,0.00130492,0.897867,1.4899,9.97213,0.00659087
0.061,0.229216,0.0104425,0.000277011,0.0878263,0.0325655,0.00133748,0.895575,1.49506,10.0382,0.00662343
0.062,0.23001,0.0106726,0.000287684,0.0776577,0.0326432,0.00137013,0.893274,1.50045,10.1015,0.00665608
0.063,0.230838,0.0109034,0.000298587,0.0679204,0.0327111,0.00140284,0.890966,1.50553,10.1634,0.00668879
0.064,0.23162,0.011135,0.000309722,0.0583966,0.0327695,0.00143561,0.88865,1.51032,10.224,0.00672156
0.065,0.232357,0.0113674,0.00032109,0.0490841,0.0328186,0.00146843,0.886326,1.51481,10.2831,0.00675437
0.066,0.233048,0.0116004,0.00033269,0.0399809,0.0328586,0.00150128,0.883996,1.51902,10.3409,0.00678723
0.067,0.233695,0.0118341,0.000344524,0.0310848,0.0328896,0.00153417,0.881659,1.52294,10.3974,0.00682012
0.068,0.234298,0.0120684,0.000356593,0.0223935,0.032912,0.00156709,0.879316,1.52656,10.4526,0.00685303
0.069,0.234856,0.0123033,0.000368896,0.0139051,0.0329259,0.00160001,0.876967,1.52991,10.5065,0.00688596
0.07,0.235371,0.0125386,0.000381435,0.0056172,0.0329316,0.00163294,0.874614,1.53297,10.5591,0.00691889
0.071,0.235842,0.0127745,0.000394209,-0.00247228,0.0329291,0.00166587,0.872255,1.53576,10.6104,0.00695182
0.072,0.236271,0.0130107,0.00040722,-0.0103656,0.0329187,0.00169879,0.869893,1.53827,10.6604,0.00698474
0.073,0.236657,0.0132474,0.000420467,-0.018065,0.0329007,0.00173169,0.867526,1.5405,10.7092,0.00701764
0.074,0.237001,0.0134844,0.000433952,-0.0255727,0.0328751,0.00176457,0.865156,1.54247,10.7568,0.00705052
0.075,0.237303,0.0137217,0.000447673,-0.0328909,0.0328422,0.00179741,0.862783,1.54417,10.8031,0.00708336
0.076,0.237564,0.0139593,0.000461633,-0.0400218,0.0328022,0.00183021,0.860407,1.5456,10.8483,0.00711616
0.077,0.237785,0.0141971,0.00047583,-0.0469679,0.0327552,0.00186297,0.858029,1.54677,10.8923,0.00714892
0.078,0.237965,0.014435,0.000490265,-0.0537311,0.0327015,0.00189567,0.85565,1.54824,10.9337,0.00718162
0.079,0.23819,0.0146732,0.000504938,-0.0601038,0.0326414,0.00192831,0.853268,1.5489,10.9753,0.00721426
0.08,0.238293,0.0149115,0.000519849,-0.0665148,0.0325748,0.00196088,0.850885,1.54932,11.0159,0.00724683
0.081,0.238356,0.0151499,0.000534999,-0.0727498,0.0325021,0.00199339,0.848501,1.54948,11.0553,0.00727934
0.082,0.238382,0.0153882,0.000550388,-0.0788111,0.0324233,0.00202581,0.846118,1.54995,11.0922,0.00731176
0.083,0.238454,0.0156267,0.000566014,-0.0844931,0.0323388,0.00205815,0.843733,1.54964,11.1294,0.0073441
0.084,0.238406,0.0158651,0.000581879,-0.0902204,0.0322486,0.0020904,0.841349,1.54963,11.1642,0.00737635
0.085,0.238405,0.0161035,0.000597983,-0.095574,0.032153,0.00212255,0.838965,1.54885,11.1993,0.0074085
0.086,0.238285,0.0163418,0.000614325,-0.100976,0.032052,0.0021546,0.836582,1.54839,11.2321,0.00744055
0.087,0.238214,0.01658,0.000630905,-0.106011,0.031946,0.00218655,0.8342,1.54716,11.2651,0.0074725
